service_id,date,exception_type
0,20250320,2
1,20250320,1
3,20250320,1
0,20250429,2
1,20250429,1
3,20250429,1
2,20250503,2
3,20250503,1
0,20250505,2
1,20250505,1
3,20250505,1
0,20250506,2
1,20250506,1
3,20250506,1
0,20250721,2
1,20250721,1
3,20250721,1
0,20250811,2
1,20250811,1
3,20250811,1
0,20250915,2
1,20250915,1
3,20250915,1
0,20250923,2
1,20250923,1
3,20250923,1
0,20251013,2
1,20251013,1
3,20251013,1
0,20251103,2
1,20251103,1
3,20251103,1
0,20251124,2
1,20251124,1
3,20251124,1
0,20260101,2
1,20260101,1
3,20260101,1
0,20260112,2
1,20260112,1
3,20260112,1
0,20260211,2
1,20260211,1
3,20260211,1
0,20260223,2
1,20260223,1
3,20260223,1
